,P_NAME,P_RADIUS,P_TEMP_EQUIL,P_ESCAPE,P_ECCENTRICITY,S_DISTANCE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_ESI,S_TEMPERATURE,S_AGE,P_GRAVITY,P_DENSITY
0,OGLE-2016-BLG-1227L b,13.9,,4.2409446,,,,,,,,,1.2939289,0.093088409
1,Kepler-276 c,2.9,541.98483,2.3925171,0,1144.86,0.81470428,0.67733674,1.5957419,0.27203194,5779,0.4,1.9738407,0.68063471
2,Kepler-829 b,2.11,1001.1171,1.5546902,0,1073.76,1.0964782,0.78960296,1.8643421,0.25476271,5698,4.68,1.1455268,0.54290371
3,K2-283 b,3.52,1104.4682,1.8616952,,402.915,0.29922646,0.42721564,1.0304731,0.19390612,5060,,0.98463326,0.27972536
4,Kepler-477 b,2.07,681.30334,1.5448215,0,367,0.42461956,0.50426386,1.2081679,0.27672114,5240,2.09,1.1528857,0.55694962
5,TOI-1260 c,2.76,595.75408,2.1869176,0,73.5977,0.12912193,0.28981995,0.72539684,0.26044049,4227,6.7,1.7328292,0.62783668
6,HD 149143 b,13.6,1353.4874,5.5751147,0.0167,73.2801,2.2387211,1.1175982,2.627713,0.067319209,5856,4.28,2.2854341,0.16804663
7,HD 99492 b,5.44,559.40675,2.1650635,0.034,18.2038,0.33496544,0.45483697,1.1028369,0.18841577,4929,4.8,0.86167279,0.15839573
8,nu Oph c,12,313.45519,25.557653,0.179,46.2107,78.523563,6.97729,16.946994,0.3373425,4887,0.65,54.432802,4.5360668
9,75 Cet b,13.3,493.87889,7.6967751,0.093,82.9613,51.760683,5.6843376,13.85188,0.13562122,4809,,4.4541615,0.33489936
10,gam Lib b,13.7,659.97527,5.1109928,0.16,47.4017,78.886012,6.9958894,16.997813,0.088135675,4879,2.82,1.9067334,0.13917762
11,HD 113337 c,12.1,139.29974,22.817416,0.164,36.18,4.1686938,1.4531109,3.3652338,0.15992948,6667.33,0.15,43.027641,3.5560034
12,HD 28109 c,4.23,596.25222,1.3703203,0.1203,139.611,2.8575905,1.2425054,2.9037125,0.20694534,6120,1.1,0.4439191,0.10494541
13,TOI-238 b,1.402,1331.9858,1.5572755,0.18,80.5407,0.33806484,0.45411774,1.0954053,0.28487692,5059,4.3,1.7297482,1.2337719
14,TOI-4562 b,12.53,321.83958,7.6432841,0.76,339.605,1.7906059,0.98499507,2.3030761,0.24327995,6096,0.7,4.6623937,0.37209846
15,HIP 12961 b,13.2,285.48886,2.9441622,0.17,23.371,0.099311605,0.25612998,0.65149497,0.37027471,3901,,0.65667355,0.049747996
16,HD 11755 b,12.8,848.4906,11.823516,0.19,235.045,147.57065,9.7738793,24.362894,0.078038714,4312,10.2,10.921526,0.85324426
17,HD 29985 b,12.8,42.591788,11.657464,0.261,31.2707,0.14256076,0.29994096,0.73508222,0.070521771,4678,,10.616912,0.82944625
18,HD 115954 b,12.6,147.90128,14.599549,0.487,87.6437,3.0269134,1.2915721,3.0292983,0.19383483,5957,,16.916415,1.3425726
19,HIP 97233 b,12.1,313.86461,22.449528,0.63,102.275,15.99558,3.1296262,7.5606942,0.29066816,5020,,41.651347,3.44226
20,HD 95872 b,13,97.633371,9.5622825,0.06,72.2195,0.57279603,0.58342329,1.3942819,0.091215607,5312,10,7.0336343,0.54104879
21,OGLE-2015-BLG-0966L b,4.86,,2.0786985,,3300,,,,,,,0.88909211,0.18294076
