name;mass;radius;orbital_period;semi_major_axis;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;albedo;molecules
2M 0103-55 (AB) b;4.22;9.7604677202041;8.27095205;0.09614;47.2;5702.228571428572;1.152609202947846;1540.126812869267;10.17403881278539;7.5;8.350957978986402;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H"":""Detection""}"""
2M0437 b;4.0;4.8793589717681;8.27095205;0.09614;128.1;3100.0;0.84;1450.0;15.7;11.298;10.386;1.15;1668.9209;4695.6494;0.0446005509641873;"{CO"":""Detection"",""CH4"":""Detection"",""H2O"":""Detection""}"""
51 Eri b;4.1;1.11;8.27095205;0.09614;29.4;5702.228571428572;1.152609202947846;700.0;5.223;4.744;4.537;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{Molecular ratios: C/O, etc..."":""Detection""}"""
51 Peg b;0.47;1.9;4.2308;0.052;15.4614;5758.0;1.176;1320.4048309838;5.49;4.66;3.91;1.15;8284.2543;2805.6449;0.0;"[]; {CO"":""Detection"",""H2O"":""Detection""}""; {H2O"":""Detection""}"""
55 Cnc b;0.84;1.9483556604302;8.27095205;0.09614;12.34;5196.0;0.98;736.59413684135;5.95;4.768;4.015;1.15;3820.3183;1298.2397;0.0;"{H"":""Detection""}"""
55 Cnc e;0.02703;0.1737;0.7365478;0.015439;12.34;5196.0;0.98;1996.209194777;5.95;4.768;4.015;1.26;249.7917;71.5094;0.0446005509641873;"{Molecular ratios: C\/O, etc..."":""Detection""}""; {H"":""Theoretical prediction"",""He"":""Theoretical prediction"",""HCN"":""Theoretical prediction""}""; []; {He"":""Upper limit""}""; {Fe"":""Upper limit"",""Fe+"":""Upper limit"",""K"":""Upper limit"",""Mg"":""Upper limit"",""Ca"":""Upper limit"",""Ca+"":""Upper limit""}""; {Fe"":""Upper limit""}""; {He"":""No detection""}""; {Na"":""Upper limit"",""H"":""Upper limit""}"""
AB Pic b;4.22;1.75;8.27095205;0.09614;47.3;5285.0;1.152609202947846;1700.0;9.16;7.576;6.981;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{H2O"":""Detection"",""CO"":""Detection"",""Isotopic fractions"":""Detection"",""Molecular ratios: C\/O, etc..."":""Detection""}"""
AU Mic b;0.028;0.4273;8.27095205;0.07;9.79;3700.0;0.75;569.5;8.6;5.436;4.529;1.15;1173.3021;60.7676;0.0446005509641873;"{H"":""No detection""}""; {He"":""Upper limit""}""; {C+"":""Upper limit"",""Si+"":""Upper limit""}""; {H"":""Upper limit""}"""
CI Tau b;4.22;9.1277049326556;8.27095205;0.09614;158.0;5702.228571428572;1.152609202947846;1540.126812869267;13.0;9.48;7.793;1.15;3343.223394303798;4920.829656780736;0.0446005509641873;"{CO"":""Detection""}"""
CoRoT-1 b;1.03;1.49;1.50896848;0.0254;460.0;6298.0;1.11;1898.0;13.6;12.462;12.149;1.15;80.9412;71.5519;0.0446005509641873;"{Rayleigh Scattering"":""Detection""}""; {Featureless spectra"":""Detection""}""; {H2O"":""Detection"",""VO"":""Detection"",""H-"":""Detection""}"""
CoRoT-2 b;3.31;1.465;1.7429964;0.0281;300.0;5575.0;0.902;1523.1000611638;12.57;10.783;10.31;1.15;63.0374;198.1424;0.0446005509641873;[]
DS Tuc A b;0.0453;0.5085;8.138268;0.0795;44.12;5597.0;0.872;850.0;9.0;7.122;6.676;1.15;620.8099;42.8198;0.0446005509641873;"{H"":""No detection""}"""
GJ 1132 b;0.00522;0.1035;1.628931;0.0154;12.04;3270.0;0.207;580.0;13.5;9.245;8.322;0.19;34.1894;10.1573;0.0;"{HCN"":""Detection"",""CH4"":""Upper limit""}""; {HCN"":""No detection""}""; []"
GJ 1214 b;0.02571;0.24463;1.580404497;0.01411;13.0;3026.0;0.216;567.0;14.71;9.75;8.782;1.26;432.4873;43.5007;0.0446005509641873;"{CO2"":""Upper limit"",""Featureless spectra"":""Detection""}""; {He"":""No detection""}""; {He"":""Upper limit""}""; {H"":""Upper limit""}""; {He"":""Detection""}""; {Featureless spectra"":""Detection""}""; {CO2"":""Upper limit"",""CH4"":""Upper limit""}"""
GJ 1252 b;0.00415;0.1053;0.5182349;0.00916;20.38;3458.0;0.391;997.0;12.0;8.697;7.915;0.19;28.0823;13.3663;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
GJ 341 b;0.00227;0.0821;7.576863;0.0608;10.454;3745.0;0.525;540.0;9.465;6.442;5.587;0.19;20.6506;2.3252;0.0446005509641873;"{Featureless spectra"":""Detection""}"""
GJ 3470 b;0.0437;0.38826;3.336649;0.03557;30.7;3652.0;0.48;590.0;12.3;8.794;7.989;1.15;303.8464;28.3126;0.0446005509641873;"{H2O"":""Upper limit""}""; {He"":""Detection""}""; {H2O"":""Detection"",""CO"":""Detection"",""CH4"":""Detection"",""SO2"":""Detection""}""; {He"":""Upper limit""}""; {He"":""No detection""}""; {Rayleigh Scattering"":""Detection""}""; {H"":""Detection""}"""
